"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 100","20 Jun 2008","","","","3630.30"
"NIFTY SMALLCAP 100","19 Jun 2008","","","","3747.80"
"NIFTY SMALLCAP 100","18 Jun 2008","","","","3810.10"
"NIFTY SMALLCAP 100","17 Jun 2008","","","","3824.30"
"NIFTY SMALLCAP 100","16 Jun 2008","","","","3766.40"
"NIFTY SMALLCAP 100","13 Jun 2008","","","","3720.40"
"NIFTY SMALLCAP 100","12 Jun 2008","","","","3682.30"
"NIFTY SMALLCAP 100","11 Jun 2008","","","","3647.60"
"NIFTY SMALLCAP 100","10 Jun 2008","","","","3591.80"
"NIFTY SMALLCAP 100","09 Jun 2008","","","","3607.30"
"NIFTY SMALLCAP 100","06 Jun 2008","","","","3712.80"
"NIFTY SMALLCAP 100","05 Jun 2008","","","","3731.10"
"NIFTY SMALLCAP 100","04 Jun 2008","","","","3720.60"
"NIFTY SMALLCAP 100","03 Jun 2008","","","","3813.40"
"NIFTY SMALLCAP 100","02 Jun 2008","","","","3848.40"
"NIFTY SMALLCAP 100","30 May 2008","","","","3968.70"
"NIFTY SMALLCAP 100","29 May 2008","","","","3954.40"
"NIFTY SMALLCAP 100","28 May 2008","","","","3977.40"
"NIFTY SMALLCAP 100","27 May 2008","","","","3930.60"
"NIFTY SMALLCAP 100","26 May 2008","","","","3969.70"
"NIFTY SMALLCAP 100","23 May 2008","","","","4063.90"
"NIFTY SMALLCAP 100","22 May 2008","","","","4129.40"
"NIFTY SMALLCAP 100","21 May 2008","","","","4195.60"
"NIFTY SMALLCAP 100","20 May 2008","","","","4160.70"
"NIFTY SMALLCAP 100","16 May 2008","","","","4152.20"
"NIFTY SMALLCAP 100","15 May 2008","","","","4110.60"
"NIFTY SMALLCAP 100","14 May 2008","","","","4042.50"
"NIFTY SMALLCAP 100","13 May 2008","","","","4017.90"
"NIFTY SMALLCAP 100","12 May 2008","","","","4016.30"
"NIFTY SMALLCAP 100","09 May 2008","","","","4050.60"
"NIFTY SMALLCAP 100","08 May 2008","","","","4145.00"
"NIFTY SMALLCAP 100","07 May 2008","","","","4184.00"
"NIFTY SMALLCAP 100","06 May 2008","","","","4202.80"
"NIFTY SMALLCAP 100","05 May 2008","","","","4258.00"
"NIFTY SMALLCAP 100","02 May 2008","","","","4235.70"
"NIFTY SMALLCAP 100","30 Apr 2008","","","","4203.00"
"NIFTY SMALLCAP 100","29 Apr 2008","","","","4186.20"
"NIFTY SMALLCAP 100","28 Apr 2008","","","","4127.20"
"NIFTY SMALLCAP 100","25 Apr 2008","","","","4117.80"
"NIFTY SMALLCAP 100","24 Apr 2008","","","","4092.30"
"NIFTY SMALLCAP 100","23 Apr 2008","","","","4131.60"
"NIFTY SMALLCAP 100","22 Apr 2008","","","","4120.10"
"NIFTY SMALLCAP 100","21 Apr 2008","","","","4082.50"
"NIFTY SMALLCAP 100","17 Apr 2008","","","","3995.90"
"NIFTY SMALLCAP 100","16 Apr 2008","","","","3907.60"
"NIFTY SMALLCAP 100","15 Apr 2008","","","","3839.60"
"NIFTY SMALLCAP 100","11 Apr 2008","","","","3798.40"
"NIFTY SMALLCAP 100","10 Apr 2008","","","","3776.40"
"NIFTY SMALLCAP 100","09 Apr 2008","","","","3788.40"
"NIFTY SMALLCAP 100","08 Apr 2008","","","","3725.60"
"NIFTY SMALLCAP 100","07 Apr 2008","","","","3700.80"
"NIFTY SMALLCAP 100","04 Apr 2008","","","","3637.80"
"NIFTY SMALLCAP 100","03 Apr 2008","","","","3690.50"
"NIFTY SMALLCAP 100","02 Apr 2008","","","","3719.90"
"NIFTY SMALLCAP 100","01 Apr 2008","","","","3739.60"
"NIFTY SMALLCAP 100","31 Mar 2008","","","","3769.90"
"NIFTY SMALLCAP 100","28 Mar 2008","","","","3809.10"
"NIFTY SMALLCAP 100","27 Mar 2008","","","","3652.00"
"NIFTY SMALLCAP 100","26 Mar 2008","","","","3618.70"
"NIFTY SMALLCAP 100","25 Mar 2008","","","","3565.80"
"NIFTY SMALLCAP 100","24 Mar 2008","","","","3364.30"
"NIFTY SMALLCAP 100","19 Mar 2008","","","","3500.40"
"NIFTY SMALLCAP 100","18 Mar 2008","","","","3563.80"
"NIFTY SMALLCAP 100","17 Mar 2008","","","","3619.20"
"NIFTY SMALLCAP 100","14 Mar 2008","","","","3877.20"
"NIFTY SMALLCAP 100","13 Mar 2008","","","","3840.90"
"NIFTY SMALLCAP 100","12 Mar 2008","","","","4065.20"
"NIFTY SMALLCAP 100","11 Mar 2008","","","","4102.70"
"NIFTY SMALLCAP 100","10 Mar 2008","","","","3971.90"
"NIFTY SMALLCAP 100","07 Mar 2008","","","","4006.40"
"NIFTY SMALLCAP 100","05 Mar 2008","","","","4177.90"
"NIFTY SMALLCAP 100","04 Mar 2008","","","","4209.90"
"NIFTY SMALLCAP 100","03 Mar 2008","","","","4322.80"
"NIFTY SMALLCAP 100","29 Feb 2008","","","","4538.20"
"NIFTY SMALLCAP 100","28 Feb 2008","","","","4530.70"
"NIFTY SMALLCAP 100","27 Feb 2008","","","","4537.90"
"NIFTY SMALLCAP 100","26 Feb 2008","","","","4536.80"
"NIFTY SMALLCAP 100","25 Feb 2008","","","","4468.90"
"NIFTY SMALLCAP 100","22 Feb 2008","","","","4454.10"
"NIFTY SMALLCAP 100","21 Feb 2008","","","","4487.80"
"NIFTY SMALLCAP 100","20 Feb 2008","","","","4433.50"
"NIFTY SMALLCAP 100","19 Feb 2008","","","","4470.70"
"NIFTY SMALLCAP 100","18 Feb 2008","","","","4428.80"
"NIFTY SMALLCAP 100","15 Feb 2008","","","","4390.10"
"NIFTY SMALLCAP 100","14 Feb 2008","","","","4322.30"
"NIFTY SMALLCAP 100","13 Feb 2008","","","","4116.50"
"NIFTY SMALLCAP 100","12 Feb 2008","","","","4128.70"
